No,カテゴリ,質問項目,プロンプト,救急受診ガイドの判定
136,しびれ（大人）（成人）,両腕を前に水平に伸ばし 手のひらを天井に向けたまま 目を閉じると、手が下がってきたり 手のひらが内側に回ってきたりしますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。しびれ（大人）（成人）。両腕を前に水平に伸ばし手のひらを天井に向けたまま目を閉じると、手が下がってきたり手のひらが内側に回ってきたりしますか？はい。,赤
137,しびれ（大人）（成人）,顔の表情に左右差がありますか？〔または〕片方の顔が動かなかったり下がっていたりしま すか？,あなたは救急医です。救急受診が必要かどうかを判断してください。しびれ（大人）（成人）。顔の表情に左右差がありますか？または片方の顔が動かなかったり下がっていたりしますか？はい。,赤
138,しびれ（大人）（成人）,足を上げてそのままにしても、下がってしまいますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。しびれ（大人）（成人）。足を上げてそのままにしても、下がってしまいますか？はい。,赤
139,しびれ（大人）（成人）,半身のしびれがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。しびれ（大人）（成人）。半身のしびれがありますか？はい。,赤
140,しびれ（大人）（成人）,頭痛がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。しびれ（大人）（成人）。頭痛がありますか？はい。,赤
141,しびれ（大人）（成人）,目がかすみますか？〔または〕視界がぼやける状態がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。しびれ（大人）（成人）。目がかすみますか？または視界がぼやける状態がありますか？はい。,赤
142,しびれ（大人）（成人）,「今日はいい天気です」と繰り返して言うように指示しても、ろれつが回っていないですか？ 〔または〕どこか異常に感じますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。しびれ（大人）（成人）。「今日はいい天気です」と繰り返して言うように指示しても、ろれつが回っていないですか？またはどこか異常に感じますか？はい。,赤
143,しびれ（大人）（成人）,「 今日はいい天気です」と繰り返して言うように指示しても、黙ったままですか？〔または〕理解していませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。しびれ（大人）（成人）。「今日はいい天気です」と繰り返して言うように指示しても、黙ったままですか？または理解していませんか？はい。,
144,しびれ（大人）（成人）,めまい〔または〕吐き気がありますか？〔または〕吐いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。しびれ（大人）（成人）。めまいまたは吐き気がありますか？または吐いていますか？はい。,赤
145,しびれ（大人）（成人）,しびれは突然始まりましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。しびれ（大人）（成人）。しびれは突然始まりましたか？はい。,赤
